<Trait>	PC1	PC2	PC3	PC4
NC324	-87.9401991356313	24.0067300508374	-23.4620742660795	14.9897468531778
NC326	-0.570465111567486	80.9282257568158	-1.6501483916926	7.97691298496357
NC328	-57.8381234991666	69.6239618214431	-14.5313492077513	10.8920924417806
NC33	55.5428080085113	10.0223419610524	-4.21137732903636	3.57492313131494
NC336	-12.2086953525163	-39.4752044102132	-21.7908447255401	41.2100765638555
NC338	87.8678150496691	16.7035870075867	1.80954235413884	15.7450755925998
NC340	-67.4198103026032	63.9041896811832	-15.2278021735477	15.1413632044807
NC342	16.9962169621329	-9.07055320403689	7.88757530833219	-8.98176016143191
NC344	3.6731855772327	-19.9976758321031	12.3004549847291	-14.4598686589518
NC346	-11.8137166582914	-37.6608453311471	-22.0184427969308	34.3037956614433
NC348	-2.36733517188196	-29.0506859792889	-18.6694204892422	27.8274614262948
NC350	-8.61954673010806	-29.9907604046835	5.04899163481201	37.2889218083887
NC352	6.66898119770204	-27.3334419846311	-20.2611063077088	31.2926825406928
NC354	19.1580455497881	-14.2693100115151	-15.9407587558894	20.3732235222076
NC356	50.4158377405216	1.65848214020378	-8.18636725059913	13.9569918729443
NC358	64.9613251487962	9.06010363875321	3.44791670115805	16.0171400003832
NC360	25.4283280971287	-8.04275054628728	-3.43777410882531	5.43530160285768
NC362	38.2198454270602	-0.0682097869786461	-3.36981934659655	4.22099259394817
NC364	80.6255266994165	14.5759390860268	3.47741048808547	0.561753301016144
NC366	32.6328523792576	-4.47751163816572	-12.0055936276825	6.03409143448589
NC368	-74.6418678100658	36.4903746899895	-13.204179543082	12.7318185207026
ND246	35.4563541617468	1.31816243922116	-15.2161657960456	2.53756106949993
NQ508	25.5233138921145	16.9204929655255	-0.897958788355071	-20.4496761989456
NS501	39.3072828970539	23.6843023701301	35.7544610524302	-6.0571346845141
NS701	-2.9738478666098	-20.3281199256576	47.673337130842	-4.03887664006057
OH40B	33.8895265691853	10.7062465885933	-10.6796209909011	-13.6072560557505
OH43	-8.57171514450626	-10.6098142622069	-2.36855704812345	-31.4087081953696
